full_path,is_directory,name,id,Franchise Name,PRIMARYKEY,,,,,Date Last Mod,Size,Folder
C:\Users\mille\MinerU\911_Restoration_Franchise_Inc_FDD_2024_ID636194.pdf-12574d0f-35a4-4a91-a8ab-193f9032db1d\df91676b-b406-4b78-a5b5-dc737fa66c14_content_list.json,FALSE,df91676b-b406-4b78-a5b5-dc737fa66c14_content_list.json,636194,911 Restoration Franchise Inc,14,,,,,3/30/2025 17:18,844412,911_Restoration_Franchise_Inc_FDD_2024_ID636194.pdf-12574d0f-35a4-4a91-a8ab-193f9032db1d
C:\Users\mille\MinerU\9Round_Franchising_LLC_FDD_2024_ID636440.pdf-a8429847-13bc-4dc6-95a6-d41569e2eb3f\bbd94cce-d087-49e0-a7b7-ba787df47de7_content_list.json,FALSE,bbd94cce-d087-49e0-a7b7-ba787df47de7_content_list.json,636440,9Round Franchising LLC,15,,,,,3/30/2025 17:12,911454,9Round_Franchising_LLC_FDD_2024_ID636440.pdf-a8429847-13bc-4dc6-95a6-d41569e2eb3f
C:\Users\mille\MinerU\9Round_Holding_Company_LLC_FDD_2024_ID637123.pdf-c5940011-5adb-405b-b37d-8baf161a7986\99e2dfde-b8b9-45d3-a0ab-37105ffbe625_content_list.json,FALSE,99e2dfde-b8b9-45d3-a0ab-37105ffbe625_content_list.json,637123,9Round Holding Company LLC,16,,,,,3/30/2025 17:13,1120002,9Round_Holding_Company_LLC_FDD_2024_ID637123.pdf-c5940011-5adb-405b-b37d-8baf161a7986
C:\Users\mille\MinerU\A1_Kitchen__Bath_Franchising_LLC_FDD_2024_ID636620.pdf-0f0d2f0d-65e5-4155-8cf8-ec66d897465a\77a32ace-dc51-48a3-897d-6d45644eff9f_content_list.json,FALSE,77a32ace-dc51-48a3-897d-6d45644eff9f_content_list.json,636620,A1 Kitchen  Bath Franchising LLC,17,,,,,3/30/2025 17:17,918884,A1_Kitchen__Bath_Franchising_LLC_FDD_2024_ID636620.pdf-0f0d2f0d-65e5-4155-8cf8-ec66d897465a
C:\Users\mille\MinerU\AAMCO_TRANSMISSIONS_LLC_FDD_2024_ID636487.pdf-8f3abfb3-d841-433d-b391-0cd73b940d0d\dfe2ac6a-7501-4672-a5be-0c79d6e7a5ff_content_list.json,FALSE,dfe2ac6a-7501-4672-a5be-0c79d6e7a5ff_content_list.json,636487,AAMCO TRANSMISSIONS LLC,18,,,,,3/30/2025 17:18,876917,AAMCO_TRANSMISSIONS_LLC_FDD_2024_ID636487.pdf-8f3abfb3-d841-433d-b391-0cd73b940d0d
C:\Users\mille\MinerU\AAMCO_TRANSMISSIONS_LLC_FDD_2024_ID636487.pdf-9632cb28-6fd3-496b-9684-acdce85cd27c\9ac5cc4e-9986-4b56-b8f6-7fa51de95d2e_content_list.json,FALSE,9ac5cc4e-9986-4b56-b8f6-7fa51de95d2e_content_list.json,636487,AAMCO TRANSMISSIONS LLC,19,,,,,3/30/2025 17:18,876917,AAMCO_TRANSMISSIONS_LLC_FDD_2024_ID636487.pdf-9632cb28-6fd3-496b-9684-acdce85cd27c
C:\Users\mille\MinerU\ABCSP_LLC_FDD_2024_ID636213.pdf-1b71baad-d4c4-4b66-98e4-4953a3f55908\2b4a878a-089c-44d5-8fac-07ba1333f555_content_list.json,FALSE,2b4a878a-089c-44d5-8fac-07ba1333f555_content_list.json,636213,ABCSP LLC,20,,,,,3/30/2025 17:17,815421,ABCSP_LLC_FDD_2024_ID636213.pdf-1b71baad-d4c4-4b66-98e4-4953a3f55908
C:\Users\mille\MinerU\ABC_Inc_FDD_2024_ID636947.pdf-875fdab3-08ab-41a0-a7d7-7c44e493dbe9\e1a623bc-45df-4300-921c-b65483383974_content_list.json,FALSE,e1a623bc-45df-4300-921c-b65483383974_content_list.json,636947,ABC Inc,21,,,,,3/30/2025 17:21,492849,ABC_Inc_FDD_2024_ID636947.pdf-875fdab3-08ab-41a0-a7d7-7c44e493dbe9
C:\Users\mille\MinerU\ABRA_Franchisor_SPV_LLC_FDD_2024_ID636875.pdf-32f6c770-cec4-4d36-8a74-359206ee1d24\621c0b45-d56d-4e52-8e24-c45a8f3d4c43_content_list.json,FALSE,621c0b45-d56d-4e52-8e24-c45a8f3d4c43_content_list.json,636875,ABRA Franchisor SPV LLC,22,,,,,3/30/2025 17:31,1000941,ABRA_Franchisor_SPV_LLC_FDD_2024_ID636875.pdf-32f6c770-cec4-4d36-8a74-359206ee1d24
C:\Users\mille\MinerU\ABS_Franchise_Services_Inc_FDD_2024_ID.pdf-3ecce2d9-f466-446e-a87d-5b428e5e5d11\acb2f705-7e5e-4186-a05b-77b06438cb13_content_list.json,FALSE,acb2f705-7e5e-4186-a05b-77b06438cb13_content_list.json,,ABS Franchise Services Inc,23,,,,,3/30/2025 17:24,655425,ABS_Franchise_Services_Inc_FDD_2024_ID.pdf-3ecce2d9-f466-446e-a87d-5b428e5e5d11
C:\Users\mille\MinerU\ACASA_Senior_Care_Franchising_Inc_FDD_2024_ID636071.pdf-a8aef5d3-e85e-4585-a0ba-9f25e03035d2\80e8e1be-f115-4b8e-800d-6552770066f1_content_list.json,FALSE,80e8e1be-f115-4b8e-800d-6552770066f1_content_list.json,636071,ACASA Senior Care Franchising Inc,24,,,,,3/30/2025 17:18,540460,ACASA_Senior_Care_Franchising_Inc_FDD_2024_ID636071.pdf-a8aef5d3-e85e-4585-a0ba-9f25e03035d2
C:\Users\mille\MinerU\Accelerated_Services_Franchise_LLC_FDD_2024_ID636522.pdf-bbab0353-9a02-4273-b20d-4a9eb2b05f53\88c96f39-432f-415a-863c-f412d3edb1de_content_list.json,FALSE,88c96f39-432f-415a-863c-f412d3edb1de_content_list.json,636522,Accelerated Services Franchise LLC,25,,,,,3/30/2025 17:20,689185,Accelerated_Services_Franchise_LLC_FDD_2024_ID636522.pdf-bbab0353-9a02-4273-b20d-4a9eb2b05f53
C:\Users\mille\MinerU\Accurate_Leak_and_Line_LLC_FDD_2024_ID636224.pdf-1d6c57ca-d32d-479a-b149-e632ab73a6a8\e2643c53-2143-4ca2-85e8-a6e8027f6bc5_content_list.json,FALSE,e2643c53-2143-4ca2-85e8-a6e8027f6bc5_content_list.json,636224,Accurate Leak and Line LLC,26,,,,,3/30/2025 17:18,388198,Accurate_Leak_and_Line_LLC_FDD_2024_ID636224.pdf-1d6c57ca-d32d-479a-b149-e632ab73a6a8
C:\Users\mille\MinerU\Ace_Handyman_Franchising_Inc_FDD_2024_ID635774.pdf-3fa45940-2dca-4881-9852-bfc332d57cc6\0dd7f87b-c09c-4c78-b232-50d76898968b_content_list.json,FALSE,0dd7f87b-c09c-4c78-b232-50d76898968b_content_list.json,635774,Ace Handyman Franchising Inc,27,,,,,3/30/2025 17:26,961508,Ace_Handyman_Franchising_Inc_FDD_2024_ID635774.pdf-3fa45940-2dca-4881-9852-bfc332d57cc6
C:\Users\mille\MinerU\Ace_Pickleball_Club_Franchise_LLC_FDD_2024_ID636639.pdf-b880854a-a2b9-42fa-88d1-ee6379461e67\603b34de-2207-4008-a9a5-8871a71e4fdb_content_list.json,FALSE,603b34de-2207-4008-a9a5-8871a71e4fdb_content_list.json,636639,Ace Pickleball Club Franchise LLC,28,,,,,3/30/2025 17:20,486864,Ace_Pickleball_Club_Franchise_LLC_FDD_2024_ID636639.pdf-b880854a-a2b9-42fa-88d1-ee6379461e67
C:\Users\mille\MinerU\Ace_Sushi_Franchise_Corporation_FDD_2024_ID636244.pdf-9a1c74b8-7b5a-4ae9-9ce6-b67fcc59c71c\928d5e7f-0a51-425b-b846-8fe5c45ca423_content_list.json,FALSE,928d5e7f-0a51-425b-b846-8fe5c45ca423_content_list.json,636244,Ace Sushi Franchise Corporation,29,,,,,3/30/2025 17:23,833650,Ace_Sushi_Franchise_Corporation_FDD_2024_ID636244.pdf-9a1c74b8-7b5a-4ae9-9ce6-b67fcc59c71c
C:\Users\mille\MinerU\ACFN_Franchised_Inc_FDD_2024_ID637589.pdf-887051d5-da95-471b-a615-4abc08a8bb04\f47974d6-8b53-428f-8f04-c70f8e0ad2a5_content_list.json,FALSE,f47974d6-8b53-428f-8f04-c70f8e0ad2a5_content_list.json,637589,ACFN Franchised Inc,30,,,,,3/30/2025 17:22,623435,ACFN_Franchised_Inc_FDD_2024_ID637589.pdf-887051d5-da95-471b-a615-4abc08a8bb04
C:\Users\mille\MinerU\ActiKare_Inc_FDD_2024_ID635456.pdf-2f113db8-1adf-45c3-a3cb-952160c0c595\3749f760-57de-4321-ad3e-92a157c6daa9_content_list.json,FALSE,3749f760-57de-4321-ad3e-92a157c6daa9_content_list.json,635456,ActiKare Inc,31,,,,,3/30/2025 17:22,364364,ActiKare_Inc_FDD_2024_ID635456.pdf-2f113db8-1adf-45c3-a3cb-952160c0c595
C:\Users\mille\MinerU\AD2019_Franchise_LLC_FDD_2024_ID637025.pdf-8c47f0f3-9ee4-4e51-b1ef-73430f42c1fa\b69d8744-f220-40ae-9b5b-71ac891f4488_content_list.json,FALSE,b69d8744-f220-40ae-9b5b-71ac891f4488_content_list.json,637025,AD2019 Franchise LLC,32,,,,,3/30/2025 17:26,448541,AD2019_Franchise_LLC_FDD_2024_ID637025.pdf-8c47f0f3-9ee4-4e51-b1ef-73430f42c1fa
C:\Users\mille\MinerU\ADVANCED_FRESH_CONCEPTS_FRANCHISE_CORP_FDD_2024_ID637114.pdf-3d625f50-898a-4a90-8347-7b2e351df7cb\65792113-5f68-4982-bca7-07058a86a448_content_list.json,FALSE,65792113-5f68-4982-bca7-07058a86a448_content_list.json,637114,ADVANCED FRESH CONCEPTS FRANCHISE CORP,33,,,,,3/30/2025 17:43,1388486,ADVANCED_FRESH_CONCEPTS_FRANCHISE_CORP_FDD_2024_ID637114.pdf-3d625f50-898a-4a90-8347-7b2e351df7cb
